stock;timestamp;position;price;delta
VN30F2311;2023-11-03 02:49:37;B;1089.0;0.3
VN30F2311;2023-11-03 02:49:37;S;1089.2;0.5
VN30F2311;2023-11-03 02:49:37;B;1089.1;0.4
VN30F2311;2023-11-03 02:49:37;S;1089.2;0.5
VN30F2311;2023-11-03 02:49:38;B;1089.5;0.8
VN30F2311;2023-11-03 02:49:38;S;1089.7;1.0
VN30F2311;2023-11-03 02:49:38;B;1089.5;0.8
VN30F2311;2023-11-03 02:49:38;S;1089.7;1.0
VN30F2311;2023-11-03 02:51:15;S;1088.6;-0.4
VN30F2311;2023-11-03 02:51:15;B;1088.5;-0.5
VN30F2311;2023-11-03 02:51:15;S;1088.4;-0.6
VN30F2311;2023-11-03 02:51:15;B;1088.3;-0.7
VN30F2311;2023-11-03 02:51:16;S;1088.3;-0.7
VN30F2311;2023-11-03 02:51:16;B;1088.3;-0.7
VN30F2311;2023-11-03 02:51:16;S;1088.5;-0.5
VN30F2311;2023-11-03 02:51:16;B;1088.5;-0.5
VN30F2311;2023-11-03 02:51:40;S;1087.6;-0.3
VN30F2311;2023-11-03 02:52:30;S;1087.7;-0.3
VN30F2311;2023-11-03 02:54:18;S;1088.0;-0.3
VN30F2311;2023-11-03 02:54:20;B;1087.8;-0.5
VN30F2311;2023-11-03 02:54:23;S;1087.7;-0.6
VN30F2311;2023-11-03 02:54:25;B;1087.8;-0.5
VN30F2311;2023-11-03 02:54:26;S;1087.7;-0.6
VN30F2311;2023-11-03 02:54:28;B;1087.8;-0.5
VN30F2311;2023-11-03 02:54:30;S;1087.7;-0.6
VN30F2311;2023-11-03 02:54:32;B;1087.7;-0.6
VN30F2311;2023-11-03 02:54:34;S;1087.8;-0.5
VN30F2311;2023-11-03 02:54:36;B;1087.7;-0.6
VN30F2311;2023-11-03 02:54:38;S;1087.7;-0.6
VN30F2311;2023-11-03 02:54:40;B;1087.7;-0.6
VN30F2311;2023-11-03 02:54:42;S;1087.6;-0.7
VN30F2311;2023-11-03 02:54:44;B;1087.6;-0.7
VN30F2311;2023-11-03 02:54:48;S;1087.7;-0.6
VN30F2311;2023-11-03 02:54:53;B;1087.7;-0.6
VN30F2311;2023-11-03 02:54:57;S;1087.9;-0.4
VN30F2311;2023-11-03 02:54:58;B;1087.6;-0.7
VN30F2311;2023-11-03 02:55:01;S;1087.6;-0.7
VN30F2311;2023-11-03 02:55:23;S;1087.6;-0.3
